country,country_code,year,current_health_exppc_ppp,government_health_exppc_ppp,private_health_exppc_ppp,external_health_exppc_ppp,urban_population,gdppc_ppp,unemployment_rate,overweight_rate,hypertension_rate,disease_mortality_rate,kcal_per_capita,protein_per_capita_g,fat_per_capita_g
Australia,AUS,2003,2555.54313776668,1823.15650599395,732.386634706347,0,84.343,30121.81841773372,5.933,58.1,30,11.8,3144.0225,111.05368,132.67897
Australia,AUS,2004,2750.67777376534,1971.88123046638,778.796520315227,0,84.463,31763.796092685396,5.399,58.6,29.9,11.5,3096.8708,102.99226,135.98022
Australia,AUS,2005,2842.85077586934,2042.23253563718,800.618237442707,0,84.582,33036.583477024884,5.036,59.2,29.7,11.4,3152.6584,106.726494,139.63661
Australia,AUS,2006,3024.01749185928,2167.20195415171,856.815564921495,0,84.7,34846.715630241844,4.785,59.7,29.7,10.9,3217.5205,106.638985,146.21571
Australia,AUS,2007,3196.31382798037,2330.31092625523,866.002891208777,0,84.822,36653.841717944284,4.381,60.2,29.6,10.6,3261.7375,110.48907,146.79858
Australia,AUS,2008,3310.37771090491,2394.3935373574,915.984158632069,0,84.943,37532.99904341326,4.242,60.7,29.5,10.5,3258.7896,108.43955,143.6353
Australia,AUS,2009,3565.90683766203,2603.48783436064,962.418975799137,0,85.063,40312.39511869452,5.565,61.2,29.5,10.1,3260.649,105.12414,146.1137
Australia,AUS,2010,3607.32119862404,2610.15936165934,997.161841684032,0,85.182,39374.632104416305,5.214,61.7,29.5,9.9,3534.0007,123.49002,153.90002
Australia,AUS,2011,3791.20094935004,2777.44506553933,1013.75589306102,0,85.3,42025.46458156182,5.083,62.2,29.4,9.8,3514.9995,122.389984,158.30998
Australia,AUS,2012,3807.51201477603,2712.26806507647,1095.2439898716,0,85.402,42866.60432950846,5.225,62.7,29.4,9.3,3562.9995,121.89999,159.64998
Australia,AUS,2013,4182.5130829639,2832.73210786937,1349.78095211033,0,85.502,45936.049310435956,5.663,63.1,29.3,9.3,3545.9988,121.429955,155.67993
Australia,AUS,2014,4682.65337459934,3283.22607292801,1399.42734750682,0,85.602,46914.38670788361,6.078,63.6,29.3,9.3,3534.0002,119.90001,161.08002
Australia,AUS,2015,4807.89635171632,3414.96507739038,1392.93125207044,0,85.701,46292.09543911793,6.055,64,29.3,9.3,3520,120.38,162.09
Australia,AUS,2016,5059.24596164933,3597.30253189061,1461.94342975872,0,85.8,47289.2859136343,5.711,64.5,29.3,9,3537.999,121.28997,162.85995
Austria,AUT,2003,3077,2251,827,0,59.375,32146.015292627082,4.779,48.8,41.6,13.7,3618.7312,102.36527,151.68791
Austria,AUT,2004,3291,2371,920,0,59.094,33774.7873879307,5.969,49.3,41.4,13.2,3615.6138,100.75791,156.01485
Austria,AUT,2005,3382,2457,925,0,58.813,35013.71404434227,5.682,49.7,41.1,12.8,3645.2942,102.83936,152.48145
Austria,AUT,2006,3596,2619,976,0,58.532,37661.922416092035,5.32,50.2,40.7,12.5,3723.1514,101.57326,162.48117
Austria,AUT,2007,3765,2741,1024,0,58.249,39439.60390498188,4.909,50.6,40.4,12.3,3744.3345,103.873474,163.08948
Austria,AUT,2008,4025,2970,1055,0,57.966,41316.225176698965,4.198,51,40,12.1,3726.3208,102.035225,162.26588
Austria,AUT,2009,4188,3051,1137,0,57.683,40916.919741952835,5.371,51.4,39.6,12.4,3735.9683,102.71655,168.40457
Austria,AUT,2010,4300,3113,1187,0,57.399,42002.15713644026,4.883,51.8,39.1,12.4,3786.0005,110.710014,177.28001
Austria,AUT,2011,4466,3246,1220,0,57.115,44452.73274579992,4.637,52.2,38.6,12.2,3834.9995,111.619995,177.24998
Austria,AUT,2012,4751,3462,1289,0,57.147,46457.345777031136,4.909,52.6,38,12,3823.9993,105.72999,177.65997
Austria,AUT,2013,4945,3569,1376,0,57.336,47922.049120745505,5.367,53,37.4,11.8,3797.999,107.83997,176.50995
Austria,AUT,2014,5083,3686,1397,0,57.526,48799.715467698465,5.674,53.4,36.8,11.7,3755.002,107.84005,168.59009
Austria,AUT,2015,5205,3771,1434,0,57.715,49865.90394241847,5.802,53.9,36.1,11.6,3734.999,108.13998,169.48996
Austria,AUT,2016,5477,3963,1514,0,57.905,52684.01711307681,6.064,54.3,35.5,11.2,3715.9998,109.73999,167.86998
Belgium,BEL,2003,2840.52106239035,2105.30713351919,735.21395169086,0,97.296,30934.582645457747,7.68,55.6,36.2,14.5,3710.729,99.302185,161.78659
Belgium,BEL,2004,2997.99931280686,2248.40921122813,749.590078738246,0,97.35,32063.98269498654,7.363,55.9,36.1,13.7,3716.6023,99.106064,160.55681
Belgium,BEL,2005,3069.84425401216,2296.28395044281,773.560303569353,0,97.403,33177.89094581582,8.44,56.2,36,13.7,3712.8274,99.175255,163.20055
Belgium,BEL,2006,3230.02781190438,2409.14835850846,820.87943214322,0,97.454,35258.98506320303,8.246,56.6,35.9,13.4,3717.766,100.16759,163.69777
Belgium,BEL,2007,3374.8490294785,2503.58379207039,871.265216411258,0,97.505,36799.53186863432,7.459,56.9,35.7,13.1,3721.4697,101.4108,165.57683
Belgium,BEL,2008,3649.64777048441,2764.5783946239,885.06939909265,0,97.555,37883.331941781944,6.976,57.2,35.5,13.2,3717.9722,98.80445,163.0605
Belgium,BEL,2009,3911.96589713061,2984.84752540787,927.118414455622,0,97.603,37748.39943319257,7.908,57.5,35.2,12.8,3717.7563,96.6496,160.305
Belgium,BEL,2010,4085.27136624886,3114.90654837131,970.364839413963,0,97.651,39833.18405404148,8.293,57.8,34.9,12.9,3728.0007,100.04002,165.08003
Belgium,BEL,2011,4257.52575848015,3243.45637882659,1014.0693625799601,0,97.698,40942.37271045402,7.14,58.1,34.5,12.6,3732.9995,99.89999,170.69997
Belgium,BEL,2012,4453.84401522795,3405.39389666663,1048.45012714147,0,97.744,42290.76205200192,7.542,58.3,34,12.2,3724,102.8,164.53
Belgium,BEL,2013,4627.81292182088,3516.49444837354,1111.31849519906,0,97.789,43671.11959259001,8.425,58.6,33.4,11.9,3738,102.84,165.07
Belgium,BEL,2014,4778.6622729398,3637.60087792674,1141.06143867319,0,97.833,44929.685593416,8.523,58.9,32.9,11.5,3806.9976,100.549934,165.52989
Belgium,BEL,2015,5004.91066069164,3822.91184986311,1181.99878910278,0,97.876,46200.90445430703,8.482,59.2,32.3,11.5,3816.9978,100.22995,170.6199
Belgium,BEL,2016,5254.7996743285,4034.33547568215,1220.46419864636,0,97.919,48597.39998262012,7.83,59.5,31.7,11.1,3781.001,102.34002,168.01004
Canada,CAN,2003,2917.28741227919,2133.69865056888,783.588744909992,0,79.967,32351.545696869758,7.574,57.5,27,13.5,3514.9453,103.919685,147.99138
Canada,CAN,2004,3078.59388604998,2249.28030583213,829.313562428434,0,80.045,33927.66969525323,7.185,58.1,26.6,13.1,3525.2573,104.82765,147.40076
Canada,CAN,2005,3285.14884499319,2399.32630697896,885.8225308682,0,80.122,36328.378994377046,6.758,58.6,26.2,12.7,3479.0002,102.22755,144.47612
Canada,CAN,2006,3565.45742429771,2475.67939194669,1089.77806626701,0,80.213,38119.390959354525,6.484,59.2,25.9,12.3,3478.441,103.781845,143.53831
Canada,CAN,2007,3741.06869570156,2603.43081145601,1137.63787446736,0,80.396,39575.47700758761,6.156,59.7,25.6,12.2,3496.0938,104.78244,145.45477
Canada,CAN,2008,3882.51079411675,2708.19530241618,1174.31551473066,0,80.578,40376.0882836384,6.284,60.2,25.2,11.9,3480.7986,105.17737,146.50494
